Disc Threshold [V]	D2, v1J2, 08.12. First	D2, v1J2, 08.12. First
Dwell time [s]	25k shots	25k shots
Number of channels Number of Scans  D2 v 1 J 2 29.2V 3.28A Au 788C Knnew  ?C Kn  e-2mbar (base 1.5e-2) x=35mm y=35.5mm z=512mm D2/RGA 9.0e-10 torr (base 1.6e-11) 500: 9.3e-9 mbar		power corrected
11.12	18	6.55047220466189E-4
11.14	21	7.64221757210554E-4
11.16	21	7.64221757210554E-4
11.18	16	5.82264195969946E-4
11.2	19	6.91438732714311E-4
11.22	20	7.27830244962433E-4
11.24	30	0.00109174536744365
11.26	35	0.00127370292868426
11.28	22	8.00613269458676E-4
11.3	17	6.18655708218068E-4
11.32	12	4.3669814697746E-4
11.34	-2	-7.27830244962433E-5
11.36	8	2.91132097984973E-4
11.38	13	4.73089659225581E-4
11.4	25	9.09787806203041E-4
11.42	20	7.27830244962433E-4
11.44	18	6.55047220466189E-4
11.46	11	4.00306634729338E-4
11.48	9	3.27523610233095E-4
11.5	17	6.18655708218068E-4
11.52	10	3.63915122481216E-4
11.54	9	3.27523610233095E-4
11.56	4	1.45566048992487E-4
11.58	4	1.45566048992487E-4
11.6	5	1.81957561240608E-4
11.62	18	6.55047220466189E-4
11.64	3	1.09174536744365E-4
11.66	4	1.45566048992487E-4
11.68	4	1.45566048992487E-4
11.7	13	4.73089659225581E-4
11.72	10	3.63915122481216E-4
11.74	12	4.3669814697746E-4
11.76	18	6.55047220466189E-4
11.78	16	5.82264195969946E-4
11.8	1	3.63915122481216E-5
11.82	19	6.91438732714311E-4
11.84	28	0.00101896234294741
11.86	19	6.91438732714311E-4
11.88	14	5.09481171473703E-4
11.9	16	5.82264195969946E-4
11.92	11	4.00306634729338E-4
11.94	14	5.09481171473703E-4
11.96	6	2.1834907348873E-4
11.98	6	2.1834907348873E-4
12	3	1.09174536744365E-4
12.02	6	2.1834907348873E-4
12.04	12	4.3669814697746E-4
12.06	4	1.45566048992487E-4
12.08	18	6.55047220466189E-4
12.1	10	3.63915122481216E-4
12.12	-2	-7.27830244962433E-5
12.14	3	1.09174536744365E-4
12.16	2	7.27830244962433E-5
12.18	2	7.27830244962433E-5
12.2	4	1.45566048992487E-4
12.22	10	3.63915122481216E-4
12.24	1	3.63915122481216E-5
12.26	5	1.81957561240608E-4
12.28	15	5.45872683721824E-4
12.3	12	4.3669814697746E-4
12.32	1	3.63915122481216E-5
12.34	4	1.45566048992487E-4
12.36	10	3.63915122481216E-4
12.38	4	1.45566048992487E-4
12.4	3	1.09174536744365E-4
12.42	4	1.45566048992487E-4
12.44	8	2.91132097984973E-4
12.46	1	3.63915122481216E-5
12.48	-11	-4.00306634729338E-4
12.5	-10	-3.63915122481216E-4
12.52	4	1.45566048992487E-4
12.54	19	6.91438732714311E-4
12.56	1	3.63915122481216E-5
12.58	-3	-1.09174536744365E-4
12.6	4	1.45566048992487E-4
12.62	4	1.45566048992487E-4
12.64	10	3.63915122481216E-4
12.66	8	2.91132097984973E-4
12.68	12	4.3669814697746E-4
12.7	12	4.3669814697746E-4
12.72	16	5.82264195969946E-4
12.74	10	3.63915122481216E-4
12.76	12	4.3669814697746E-4
12.78	11	4.00306634729338E-4
12.8	5	1.81957561240608E-4
12.82	11	4.00306634729338E-4
12.84	11	4.00306634729338E-4
12.86	5	1.81957561240608E-4
12.88	-3	-1.09174536744365E-4
12.9	-4	-1.45566048992487E-4
12.92	2	7.27830244962433E-5
12.94	7	2.54740585736851E-4
12.96	0	0
12.98	2	7.27830244962433E-5
13	2	7.27830244962433E-5
13.02	-3	-1.09174536744365E-4
13.04	8	2.91132097984973E-4
13.06	1	3.63915122481216E-5
13.08	9	3.27523610233095E-4
13.1	7	2.54740585736851E-4
13.12	6	2.1834907348873E-4
13.14	5	1.81957561240608E-4
13.16	8	2.91132097984973E-4
13.18	6	2.1834907348873E-4
13.2	6	2.1834907348873E-4
13.22	-4	-1.45566048992487E-4
13.24	-6	-2.1834907348873E-4
13.26	10	3.63915122481216E-4
13.28	2	7.27830244962433E-5
13.3	0	0
13.32	2	7.27830244962433E-5
13.34	4	1.45566048992487E-4
13.36	12	4.3669814697746E-4
13.38	13	4.73089659225581E-4
13.4	11	4.00306634729338E-4
13.42	9	3.27523610233095E-4
13.44	-1	-3.63915122481216E-5
13.46	3	1.09174536744365E-4
13.48	8	2.91132097984973E-4
13.5	-2	-7.27830244962433E-5
13.52	0	0
13.54	2	7.27830244962433E-5
13.56	2	7.27830244962433E-5
13.58	11	4.00306634729338E-4
13.6	11	4.00306634729338E-4
13.62	5	1.81957561240608E-4
13.64	9	3.27523610233095E-4
13.66	3	1.09174536744365E-4
13.68	6	2.1834907348873E-4
13.7	9	3.27523610233095E-4
13.72	14	5.09481171473703E-4
13.74	8	2.91132097984973E-4
13.76	-5	-1.81957561240608E-4
13.78	-2	-7.27830244962433E-5
13.8	7	2.54740585736851E-4
13.82	0	0
13.84	-10	-3.63915122481216E-4
13.86	-5	-1.81957561240608E-4
13.88	14	5.09481171473703E-4
13.9	13	4.73089659225581E-4
13.92	5	1.81957561240608E-4
13.94	6	2.1834907348873E-4
13.96	0	0
13.98	0	0
14	3	1.09174536744365E-4
14.02	3	1.09174536744365E-4
14.04	2	7.27830244962433E-5
14.06	10	3.63915122481216E-4
14.08	9	3.27523610233095E-4
14.1	3	1.09174536744365E-4
14.12	-5	-1.81957561240608E-4
14.14	-3	-1.09174536744365E-4
14.16	4	1.45566048992487E-4
14.18	0	0
14.2	-6	-2.1834907348873E-4
14.22	-1	-3.63915122481216E-5
14.24	-1	-3.63915122481216E-5
14.26	-2	-7.27830244962433E-5
14.28	0	0
14.3	-2	-7.27830244962433E-5
14.32	2	7.27830244962433E-5
14.34	0	0
14.36	-3	-1.09174536744365E-4
14.38	5	1.81957561240608E-4
14.4	7	2.54740585736851E-4
14.42	9	3.27523610233095E-4
