Time [µs]	D2 v2J2	D2 v2J2	
	150k shots	150k shots	
Laser Power [mJ]		power corrected	
5.74	-9	-2.42497903472343E-4
5.76	16	4.31107383950831E-4
5.78	4	1.07776845987708E-4
5.8	-7	-1.88609480478489E-4
5.82	-12	-3.23330537963124E-4
5.84	-23	-6.1971686442932E-4
5.86	-25	-6.73605287423174E-4
5.88	0	0
5.9	-17	-4.58051595447758E-4
5.92	8	2.15553691975416E-4
5.94	13	3.5027474946005E-4
5.96	-1	-2.6944211496927E-5
5.98	-4	-1.07776845987708E-4
6	-11	-2.96386326466197E-4
6.02	-15	-4.04163172453904E-4
6.04	3	8.08326344907809E-5
6.06	2	5.38884229938539E-5
6.08	3	8.08326344907809E-5
6.1	-2	-5.38884229938539E-5
6.12	5	1.34721057484635E-4
6.14	-6	-1.61665268981562E-4
6.16	-6	-1.61665268981562E-4
6.18	2	5.38884229938539E-5
6.2	-4	-1.07776845987708E-4
6.22	-14	-3.77218960956977E-4
6.24	-3	-8.08326344907809E-5
6.26	3	8.08326344907809E-5
6.28	2	5.38884229938539E-5
6.3	2	5.38884229938539E-5
6.32	4	1.07776845987708E-4
6.34	-4	-1.07776845987708E-4
6.36	-12	-3.23330537963124E-4
6.38	-15	-4.04163172453904E-4
6.4	-10	-2.6944211496927E-4
6.42	1	2.6944211496927E-5
6.44	3	8.08326344907809E-5
6.46	-5	-1.34721057484635E-4
6.48	-4	-1.07776845987708E-4
6.5	17	4.58051595447758E-4
6.52	12	3.23330537963124E-4
6.54	13	3.5027474946005E-4
6.56	11	2.96386326466197E-4
6.58	-7	-1.88609480478489E-4
6.6	-9	-2.42497903472343E-4
6.62	-19	-5.11940018441612E-4
6.64	-13	-3.5027474946005E-4
6.66	-8	-2.15553691975416E-4
6.68	-2	-5.38884229938539E-5
6.7	19	5.11940018441612E-4
6.72	18	4.84995806944685E-4
6.74	6	1.61665268981562E-4
6.76	3	8.08326344907809E-5
6.78	-2	-5.38884229938539E-5
6.8	1	2.6944211496927E-5
6.82	-13	-3.5027474946005E-4
6.84	-14	-3.77218960956977E-4
6.86	-24	-6.46661075926247E-4
6.88	-18	-4.84995806944685E-4
6.9	-19	-5.11940018441612E-4
6.92	-6	-1.61665268981562E-4
6.94	9	2.42497903472343E-4
6.96	3	8.08326344907809E-5
6.98	-12	-3.23330537963124E-4
7	-16	-4.31107383950831E-4
7.02	16	4.31107383950831E-4
7.04	21	5.65828441435466E-4
7.06	-3	-8.08326344907809E-5
7.08	6	1.61665268981562E-4
7.1	17	4.58051595447758E-4
7.12	18	4.84995806944685E-4
7.14	3	8.08326344907809E-5
7.16	15	4.04163172453904E-4
7.18	12	3.23330537963124E-4
7.2	8	2.15553691975416E-4
7.22	9	2.42497903472343E-4
7.24	-6	-1.61665268981562E-4
7.26	-21	-5.65828441435466E-4
7.28	-14	-3.77218960956977E-4
7.3	-22	-5.92772652932393E-4
7.32	-7	-1.88609480478489E-4
7.34	0	0
7.36	-5	-1.34721057484635E-4
7.38	-12	-3.23330537963124E-4
7.4	5	1.34721057484635E-4
7.42	14	3.77218960956977E-4
7.44	4	1.07776845987708E-4
7.46	21	5.65828441435466E-4
7.48	24	6.46661075926247E-4
7.5	0	0
7.52	3	8.08326344907809E-5
7.54	1	2.6944211496927E-5
7.56	-7	-1.88609480478489E-4
7.58	-7	-1.88609480478489E-4
7.6	9	2.42497903472343E-4
7.62	10	2.6944211496927E-4
7.64	32	8.62214767901663E-4
7.66	7	1.88609480478489E-4
7.68	9	2.42497903472343E-4
7.7	3	8.08326344907809E-5
7.72	-3	-8.08326344907809E-5
7.74	13	3.5027474946005E-4
7.76	14	3.77218960956977E-4
7.78	20	5.38884229938539E-4
7.8	18	4.84995806944685E-4
7.82	-19	-5.11940018441612E-4
7.84	-14	-3.77218960956977E-4
7.86	-6	-1.61665268981562E-4
7.88	8	2.15553691975416E-4
7.9	19	5.11940018441612E-4
7.92	11	2.96386326466197E-4
7.94	11	2.96386326466197E-4
7.96	0	0
7.98	-7	-1.88609480478489E-4
8	-13	-3.5027474946005E-4
8.02	15	4.04163172453904E-4
8.04	23	6.1971686442932E-4
8.06	15	4.04163172453904E-4
8.08	0	0
8.1	3	8.08326344907809E-5
8.12	36	9.6999161388937E-4
8.14	19	5.11940018441612E-4
8.16	22	5.92772652932393E-4
8.18	21	5.65828441435466E-4
8.2	12	3.23330537963124E-4
8.22	6	1.61665268981562E-4
8.24	-2	-5.38884229938539E-5
8.26	-6	-1.61665268981562E-4
8.28	3	8.08326344907809E-5
8.3	0	0
8.32	-9	-2.42497903472343E-4
8.34	-2	-5.38884229938539E-5
8.36	-10	-2.6944211496927E-4
8.38	16	4.31107383950831E-4
8.4	20	5.38884229938539E-4
8.42	20	5.38884229938539E-4
8.44	5	1.34721057484635E-4
8.46	2	5.38884229938539E-5
8.48	10	2.6944211496927E-4
8.5	11	2.96386326466197E-4
8.52	4	1.07776845987708E-4
8.54	4	1.07776845987708E-4
8.56	-3	-8.08326344907809E-5
8.58	-6	-1.61665268981562E-4
8.6	10	2.6944211496927E-4
8.62	-3	-8.08326344907809E-5
8.64	5	1.34721057484635E-4
8.66	9	2.42497903472343E-4
8.68	6	1.61665268981562E-4
8.7	8	2.15553691975416E-4
8.72	2	5.38884229938539E-5
8.74	10	2.6944211496927E-4
8.76	25	6.73605287423174E-4
8.78	27	7.27493710417028E-4
8.8	9	2.42497903472343E-4
8.82	29	7.81382133410882E-4
8.84	10	2.6944211496927E-4
8.86	13	3.5027474946005E-4
8.88	10	2.6944211496927E-4
8.9	20	5.38884229938539E-4
8.92	28	7.54437921913955E-4
8.94	14	3.77218960956977E-4
8.96	13	3.5027474946005E-4
8.98	14	3.77218960956977E-4
9	25	6.73605287423174E-4
9.02	2	5.38884229938539E-5
9.04	-14	-3.77218960956977E-4
9.06	2	5.38884229938539E-5
9.08	7	1.88609480478489E-4
9.1	22	5.92772652932393E-4
9.12	42	0.00113165688287093
9.14	19	5.11940018441612E-4
9.16	12	3.23330537963124E-4
9.18	21	5.65828441435466E-4
9.2	36	9.6999161388937E-4
9.22	40	0.00107776845987708
9.24	21	5.65828441435466E-4
9.26	19	5.11940018441612E-4
9.28	25	6.73605287423174E-4
9.3	23	6.1971686442932E-4
9.32	41	0.00110471267137401
9.34	64	0.00172442953580333
9.36	49	0.00132026636334942
9.38	44	0.00118554530586479
9.4	31	8.35270556404736E-4
9.42	16	4.31107383950831E-4
9.44	23	6.1971686442932E-4
9.46	14	3.77218960956977E-4
9.48	28	7.54437921913955E-4
9.5	17	4.58051595447758E-4
9.52	25	6.73605287423174E-4
9.54	30	8.08326344907809E-4
9.56	55	0.00148193163233098
9.58	35	9.43047402392444E-4
9.6	25	6.73605287423174E-4
9.62	24	6.46661075926247E-4
9.64	12	3.23330537963124E-4
9.66	31	8.35270556404736E-4
9.68	47	0.00126637794035557
9.7	25	6.73605287423174E-4
9.72	49	0.00132026636334942
9.74	67	0.00180526217029411
9.76	71	0.00191303901628181
9.78	45	0.00121248951736171
9.8	48	0.00129332215185249
9.82	53	0.00142804320933713
9.84	41	0.00110471267137401
9.86	41	0.00110471267137401
9.88	30	8.08326344907809E-4
9.9	53	0.00142804320933713
9.92	73	0.00196692743927567
9.94	86	0.00231720218873572
9.96	66	0.00177831795879718
9.98	75	0.00202081586226952
10	63	0.0016974853243064
10.02	73	0.00196692743927567
10.04	76	0.00204776007376645
10.06	69	0.00185915059328796
10.08	39	0.00105082424838015
10.1	60	0.00161665268981562
10.12	57	0.00153582005532484
10.14	57	0.00153582005532484
10.16	54	0.00145498742083406
10.18	46	0.00123943372885864
10.2	56	0.00150887584382791
10.22	54	0.00145498742083406
10.24	72	0.00193998322777874
10.26	64	0.00172442953580333
10.28	64	0.00172442953580333
10.3	102	0.00274830957268655
10.32	67	0.00180526217029411
10.34	79	0.00212859270825723
10.36	76	0.00204776007376645
10.38	69	0.00185915059328796
10.4	88	0.00237109061172957
10.42	73	0.00196692743927567
10.44	58	0.00156276426682176
