Time [µs]	D2, v0J12	D2, v0J12
	200k shots	200k shots
Laser Power [mJ]		power corrected
6.36	-11	-5.81796228360313E-5
6.38	-51	-2.69741887694327E-4
6.4	-30	-1.58671698643722E-4
6.42	9	4.76015095931165E-5
6.44	-1	-5.28905662145739E-6
6.46	13	6.8757736078946E-5
6.48	12	6.34686794574887E-5
6.5	0	0
6.52	-20	-1.05781132429148E-4
6.54	-5	-2.64452831072869E-5
6.56	-37	-1.95695094993923E-4
6.58	-68	-3.59655850259102E-4
6.6	-25	-1.32226415536435E-4
6.62	-13	-6.8757736078946E-5
6.64	1	5.28905662145739E-6
6.66	16	8.46249059433182E-5
6.68	15	7.93358493218608E-5
6.7	15	7.93358493218608E-5
6.72	16	8.46249059433182E-5
6.74	-22	-1.16359245672063E-4
6.76	-43	-2.27429434722668E-4
6.78	-43	-2.27429434722668E-4
6.8	-42	-2.2214037810121E-4
6.82	-21	-1.11070189050605E-4
6.84	-7	-3.70233963502017E-5
6.86	-4	-2.11562264858296E-5
6.88	-41	-2.16851321479753E-4
6.9	9	4.76015095931165E-5
6.92	-1	-5.28905662145739E-6
6.94	-21	-1.11070189050605E-4
6.96	-7	-3.70233963502017E-5
6.98	-19	-1.0049207580769E-4
7	3	1.58671698643722E-5
7.02	-21	-1.11070189050605E-4
7.04	-28	-1.48093585400807E-4
7.06	-37	-1.95695094993923E-4
7.08	-41	-2.16851321479753E-4
7.1	-28	-1.48093585400807E-4
7.12	-27	-1.4280452877935E-4
7.14	4	2.11562264858296E-5
7.16	24	1.26937358914977E-4
7.18	-12	-6.34686794574887E-5
7.2	-26	-1.37515472157892E-4
7.22	-14	-7.40467927004034E-5
7.24	54	2.85609057558699E-4
7.26	21	1.11070189050605E-4
7.28	-13	-6.8757736078946E-5
7.3	-44	-2.32718491344125E-4
7.32	-24	-1.26937358914977E-4
7.34	8	4.23124529716591E-5
7.36	31	1.63960755265179E-4
7.38	-91	-4.81304152552622E-4
7.4	-73	-3.86101133366389E-4
7.42	-41	-2.16851321479753E-4
7.44	-43	-2.27429434722668E-4
7.46	-5	-2.64452831072869E-5
7.48	41	2.16851321479753E-4
7.5	36	1.90406038372466E-4
7.52	31	1.63960755265179E-4
7.54	-5	-2.64452831072869E-5
7.56	-69	-3.6494490688056E-4
7.58	-7	-3.70233963502017E-5
7.6	38	2.00984151615381E-4
7.62	13	6.8757736078946E-5
7.64	3	1.58671698643722E-5
7.66	-17	-8.99139625647756E-5
7.68	-32	-1.69249811886636E-4
7.7	-25	-1.32226415536435E-4
7.72	-114	-6.02952454846142E-4
7.74	-84	-4.44280756202421E-4
7.76	2	1.05781132429148E-5
7.78	-43	-2.27429434722668E-4
7.8	37	1.95695094993923E-4
7.82	0	0
7.84	-43	-2.27429434722668E-4
7.86	39	2.06273208236838E-4
7.88	-19	-1.0049207580769E-4
7.9	-11	-5.81796228360313E-5
7.92	-51	-2.69741887694327E-4
7.94	34	1.79827925129551E-4
7.96	57	3.01476227423071E-4
7.98	-11	-5.81796228360313E-5
8	-42	-2.2214037810121E-4
8.02	-17	-8.99139625647756E-5
8.04	-11	-5.81796228360313E-5
8.06	4	2.11562264858296E-5
8.08	-2	-1.05781132429148E-5
8.1	13	6.8757736078946E-5
8.12	-25	-1.32226415536435E-4
8.14	1	5.28905662145739E-6
8.16	-8	-4.23124529716591E-5
8.18	-51	-2.69741887694327E-4
8.2	-44	-2.32718491344125E-4
8.22	-49	-2.59163774451412E-4
8.24	-25	-1.32226415536435E-4
8.26	1	5.28905662145739E-6
8.28	31	1.63960755265179E-4
