Time [µs]	D2, v0J2, 04.12.	D2, v0J2, 04.12.
	100k shots	counts per shot
Laser Power [mJ]	scaled	power corrected
11.26	36.28	6.51889674729382E-4
11.28	28.15	5.05807451588537E-4
11.3	43.36	7.7910519008451E-4
11.32	23.64	4.24770449575596E-4
11.34	10.66	1.91542004757862E-4
11.36	13.11	2.35564322924537E-4
11.38	29.02	5.21439866610989E-4
11.4	22.45	4.03388180751782E-4
11.42	48.19	8.65892045898813E-4
11.44	22.02	3.95661814706202E-4
11.46	9.09	1.63331784544931E-4
11.48	3.62	6.50452211279043E-5
11.5	32.55	5.8486794135726E-4
11.52	12.34	2.2172873721501E-4
11.54	-14.36	-2.58024689336106E-4
11.56	4.83000000000001	8.67868558143033E-5
11.58	40.32	7.24481578971574E-4
11.6	36.3	6.52249040591968E-4
11.62	-5.88999999999999	-1.05833246531313E-4
11.64	-6.88999999999999	-1.23801539660569E-4
11.66	-30.27	-5.43900233022558E-4
11.68	-2.39999999999998	-4.31239035102123E-5
11.7	-4.56999999999999	-8.21150996006966E-5
11.72	1.47000000000001	2.64133909000055E-5
11.74	14.85	2.66829152969441E-4
11.76	23.64	4.24770449575596E-4
11.78	24.32	4.36988888903489E-4
11.8	4.98	8.94820997836915E-5
11.82	0.980000000000004	1.76089272666703E-5
11.84	23	4.13270741972872E-4
11.86	23.47	4.21715839743622E-4
11.88	9.32000000000001	1.6746449196466E-4
11.9	34.17	6.13976576226654E-4
11.92	-13.7	-2.46165615870797E-4
11.94	-17.27	-3.10312422342239E-4
11.96	17.26	3.10132739410947E-4
11.98	-1.39999999999998	-2.5155610380957E-5
12	11.62	2.08791566161947E-4
12.02	21.28	3.82365277790553E-4
12.04	10.11	1.81659443536771E-4
12.06	0.830000000000013	1.49136832972821E-5
12.08	22.66	4.07161522308925E-4
12.1	6.32000000000001	1.13559612576894E-4
12.12	-20.08	-3.60803326035446E-4
12.14	14.49	2.60360567442909E-4
12.16	22.79	4.09497400415729E-4
12.18	6.13	1.10145636882335E-4
12.2	-14.59	-2.62157396755835E-4
12.22	13.32	2.39337664481681E-4
12.24	31.87	5.72649502029366E-4
12.26	11.98	2.15260151688479E-4
12.28	16.83	3.02406373365367E-4
12.3	58.53	0.00105168419685531
12.32	40.62	7.2987206691035E-4
12.34	55.81	0.00100281043954374
12.36	67.04	0.00120459437138528
12.38	11.3	2.03041712360585E-4
12.4	22.87	4.10934863866069E-4
12.42	27	4.85143914489893E-4
12.44	6.79000000000002	1.22004710347644E-4
12.46	4.51000000000001	8.10370020129415E-5
12.48	-3.83	-6.88185626850478E-5
12.5	-13.04	-2.34306542405489E-4
12.52	30.13	5.41384671984462E-4
12.54	18.32	3.29179130127957E-4
12.56	-1.91	-3.43194398768776E-5
12.58	11.68	2.09869663749702E-4
12.6	30.17	5.42103403709632E-4
12.62	55.34	9.94365341772988E-4
12.64	23.15	4.1596598594226E-4
12.66	17.34	3.11570202861287E-4
12.68	8.96000000000001	1.60995906438128E-4
12.7	6.96000000000001	1.25059320179617E-4
12.72	2.34	4.20458059224575E-5
12.74	31.06	5.5809518459467E-4
12.76	22.34	4.01411668507563E-4
12.78	60.55	0.00108798014897641
12.8	18.51	3.32593105822516E-4
12.82	13.85	2.48860859840186E-4
12.84	9.81	1.76268955597995E-4
12.86	-1.44	-2.58743421061276E-5
12.88	40.06	7.19809822757967E-4
12.9	6.47000000000001	1.16254856546282E-4
12.92	-18.1	-3.25226105639521E-4
12.94	8.13	1.46082223140846E-4
12.96	24	4.31239035102127E-4
12.98	29.87	5.36712915770856E-4
13	17.11	3.07437495441558E-4
13.02	-17.08	-3.0689844664768E-4
13.04	22.94	4.12192644385117E-4
13.06	-3.07999999999998	-5.5342342838106E-5
13.08	2.49000000000001	4.47410498918459E-5
13.1	-17.02	-3.05820349059925E-4
13.12	6.66000000000001	1.19668832240841E-4
13.14	2.30000000000001	4.13270741972874E-5
13.16	25.81	4.63761645666079E-4
13.18	30.02	5.39408159740244E-4
13.2	55.38	9.95084073498159E-4
13.22	27.17	4.88198524321866E-4
13.24	5.83000000000001	1.04755148943559E-4
13.26	31	5.57017087006914E-4
13.28	31.02	5.573764528695E-4
13.3	22.64	4.0680215644634E-4
13.32	-1.87	-3.36007081517075E-5
13.34	20.49	3.68170326218441E-4
13.36	-12.61	-2.26580176359909E-4
13.38	37.81	6.79381163217143E-4
13.4	14.81	2.66110421244271E-4
13.42	0.110000000000014	1.97651224421833E-6
13.44	11.64	2.09150932024532E-4
13.46	27.64	4.96643622092617E-4
13.48	32.32	5.80735233937531E-4
13.5	11.17	2.00705834253782E-4
13.52	27.32	4.90893768291255E-4
13.54	8.17	1.46800954866016E-4
13.56	44.17	7.93659507519207E-4
13.58	33.96	6.1020323466951E-4
13.6	40.49	7.27536188803547E-4
13.62	24.34	4.37348254766074E-4
13.64	19.62	3.52537911195989E-4
13.66	14.51	2.60719933305494E-4
13.68	57.72	0.00103712987942062
13.7	23.06	4.14348839560627E-4
13.72	3.79000000000002	6.80998309598779E-5
13.74	11.64	2.09150932024532E-4
13.76	38.66	6.9465421237701E-4
13.78	28.34	5.09221427283095E-4
