Time [µs]	v1J2	v1J2	
	75k shots	75k shots	
Laser Power [mJ]		power corrected	
6.58	43	6.93611258170239E-4
6.6	37	5.96828291913927E-4
6.62	44	7.09741752546291E-4
6.64	24	3.8713186502525E-4
6.66	11	1.77435438136573E-4
6.68	3	4.83914831281562E-5
6.7	9	1.45174449384469E-4
6.72	31	5.00045325657614E-4
6.74	21	3.38740381897093E-4
6.76	18	2.90348898768937E-4
6.78	38	6.12958786289979E-4
6.8	29	4.6778433690551E-4
6.82	54	8.71046696306812E-4
6.84	28	4.51653842529458E-4
6.86	0	0
6.88	-18	-2.90348898768937E-4
6.9	-3	-4.83914831281562E-5
6.92	0	0
6.94	-5	-8.06524718802603E-5
6.96	23	3.71001370649198E-4
6.98	33	5.32306314409718E-4
7	31	5.00045325657614E-4
7.02	23	3.71001370649198E-4
7.04	-5	-8.06524718802603E-5
7.06	31	5.00045325657614E-4
7.08	-21	-3.38740381897093E-4
7.1	-10	-1.61304943760521E-4
7.12	22	3.54870876273145E-4
7.14	16	2.58087910016833E-4
7.16	-6	-9.67829662563124E-5
7.18	30	4.83914831281562E-4
7.2	39	6.29089280666031E-4
7.22	-3	-4.83914831281562E-5
7.24	8	1.29043955008417E-4
7.26	11	1.77435438136573E-4
7.28	16	2.58087910016833E-4
7.3	22	3.54870876273145E-4
7.32	36	5.80697797537875E-4
7.34	39	6.29089280666031E-4
7.36	31	5.00045325657614E-4
7.38	30	4.83914831281562E-4
7.4	-3	-4.83914831281562E-5
7.42	-7	-1.12913460632364E-4
7.44	-28	-4.51653842529458E-4
7.46	-19	-3.06479393144989E-4
7.48	-6	-9.67829662563124E-5
7.5	15	2.41957415640781E-4
7.52	9	1.45174449384469E-4
7.54	24	3.8713186502525E-4
7.56	-11	-1.77435438136573E-4
7.58	23	3.71001370649198E-4
7.6	45	7.25872246922343E-4
7.62	15	2.41957415640781E-4
7.64	-21	-3.38740381897093E-4
7.66	12	1.93565932512625E-4
7.68	26	4.19392853777354E-4
7.7	28	4.51653842529458E-4
7.72	21	3.38740381897093E-4
7.74	8	1.29043955008417E-4
7.76	30	4.83914831281562E-4
7.78	11	1.77435438136573E-4
7.8	12	1.93565932512625E-4
7.82	1	1.61304943760521E-5
7.84	3	4.83914831281562E-5
7.86	16	2.58087910016833E-4
7.88	27	4.35523348153406E-4
7.9	6	9.67829662563124E-5
7.92	11	1.77435438136573E-4
7.94	4	6.45219775042083E-5
7.96	21	3.38740381897093E-4
7.98	39	6.29089280666031E-4
8	25	4.03262359401302E-4
8.02	12	1.93565932512625E-4
8.04	36	5.80697797537875E-4
8.06	36	5.80697797537875E-4
8.08	10	1.61304943760521E-4
8.1	0	0
8.12	18	2.90348898768937E-4
8.14	8	1.29043955008417E-4
8.16	16	2.58087910016833E-4
8.18	23	3.71001370649198E-4
8.2	34	5.4843680878577E-4
8.22	53	8.54916201930759E-4
8.24	35	5.64567303161822E-4
8.26	18	2.90348898768937E-4
8.28	-1	-1.61304943760521E-5
8.3	14	2.25826921264729E-4
8.32	12	1.93565932512625E-4
8.34	35	5.64567303161822E-4
8.36	55	8.87177190682864E-4
8.38	59	9.51699168187072E-4
8.4	67	0.00108074312319549
8.42	54	8.71046696306812E-4
8.44	42	6.77480763794187E-4
8.46	47	7.58133235674447E-4
8.48	52	8.38785707554708E-4
8.5	51	8.22655213178656E-4
8.52	66	0.00106461262881944
8.54	48	7.74263730050499E-4
8.56	68	0.00109687361757154
8.58	53	8.54916201930759E-4
8.6	46	7.42002741298395E-4
8.62	60	9.67829662563124E-4
8.64	62	0.00100009065131523
8.66	78	0.00125817856133206
8.68	69	0.00111300411194759
8.7	67	0.00108074312319549
8.72	58	9.3556867381102E-4
8.74	73	0.0011775260894518
8.76	47	7.58133235674447E-4
8.78	94	0.00151626647134889
8.8	107	0.00172596289823757
8.82	95	0.00153239696572495
8.84	110	0.00177435438136573
8.86	70	0.00112913460632364
8.88	89	0.00143561399946863
8.9	114	0.00183887635886994
8.92	133	0.00214535575201493
8.94	94	0.00151626647134889
8.96	76	0.00122591757257996
8.98	110	0.00177435438136573
9	138	0.00222600822389519
9.02	129	0.00208083377451072
9.04	143	0.00230666069577545
9.06	162	0.00261314008892044
9.08	171	0.0027583145383049
9.1	163	0.00262927058329649
9.12	168	0.00270992305517675
9.14	160	0.00258087910016833
9.16	197	0.00317770739208226
9.18	181	0.00291961948206542
9.2	176	0.00283896701018516
9.22	192	0.003097054920202
9.24	193	0.00311318541457805
9.26	172	0.00277444503268096
9.28	198	0.00319383788645831
9.3	183	0.00295188047081753
9.32	212	0.00341966480772304
9.34	200	0.00322609887521041
9.36	208	0.00335514283021883
9.38	233	0.00375840518962013
9.4	197	0.00317770739208226
9.42	168	0.00270992305517675
9.44	240	0.0038713186502525
9.46	223	0.00359710024585961
9.48	223	0.00359710024585961
9.5	161	0.00259700959454438
9.52	193	0.00311318541457805
9.54	190	0.00306479393144989
9.56	198	0.00319383788645831
9.58	230	0.00371001370649198
9.6	221	0.00356483925710751
9.62	268	0.00432297249278195
9.64	232	0.00374227469524408
9.66	209	0.00337127332459488
9.68	181	0.00291961948206542
9.7	199	0.00320996838083436
9.72	217	0.0035003172796033
9.74	208	0.00335514283021883
9.76	175	0.00282283651580911
9.78	198	0.00319383788645831
9.8	209	0.00337127332459488
9.82	189	0.00304866343707384
9.84	197	0.00317770739208226
9.86	166	0.00267766206642464
9.88	196	0.00316157689770621
9.9	190	0.00306479393144989
9.92	172	0.00277444503268096
9.94	197	0.00317770739208226
9.96	199	0.00320996838083436
9.98	227	0.00366162222336382
10	208	0.00335514283021883
10.02	184	0.00296801096519358
10.04	155	0.00250022662828807
10.06	183	0.00295188047081753
10.08	162	0.00261314008892044
