Time [µs]	v0J7	v0J7
	50k shots	50k shots
Laser Power [mJ]		power corrected
7.62	37	0.0011655203766411
7.64	37	0.0011655203766411
7.66	38	0.00119702092736113
7.68	24	7.56013217280712E-4
7.7	33	0.00103951817376098
7.72	22	6.93012115840653E-4
7.74	21	6.61511565120623E-4
7.76	12	3.78006608640356E-4
7.78	15	4.72508260800445E-4
7.8	27	8.50514869440801E-4
7.82	33	0.00103951817376098
7.84	38	0.00119702092736113
7.86	32	0.00100801762304095
7.88	65	0.00204753579680193
7.9	33	0.00103951817376098
7.92	32	0.00100801762304095
7.94	33	0.00103951817376098
7.96	36	0.00113401982592107
7.98	32	0.00100801762304095
8	7	2.20503855040208E-4
8.02	-4	-1.26002202880119E-4
8.04	-9	-2.83504956480267E-4
8.06	-7	-2.20503855040208E-4
8.08	-2	-6.30011014400594E-5
8.1	7	2.20503855040208E-4
8.12	20	6.30011014400594E-4
8.14	24	7.56013217280712E-4
8.16	20	6.30011014400594E-4
8.18	10	3.15005507200297E-4
8.2	30	9.4501652160089E-4
8.22	32	0.00100801762304095
8.24	27	8.50514869440801E-4
8.26	37	0.0011655203766411
8.28	33	0.00103951817376098
8.3	21	6.61511565120623E-4
8.32	6	1.89003304320178E-4
8.34	11	3.46506057920326E-4
8.36	12	3.78006608640356E-4
8.38	22	6.93012115840653E-4
8.4	8	2.52004405760237E-4
8.42	-11	-3.46506057920326E-4
8.44	33	0.00103951817376098
8.46	28	8.82015420160831E-4
8.48	25	7.87513768000742E-4
8.5	15	4.72508260800445E-4
8.52	19	5.98510463680564E-4
8.54	15	4.72508260800445E-4
8.56	11	3.46506057920326E-4
8.58	8	2.52004405760237E-4
8.6	5	1.57502753600148E-4
8.62	-9	-2.83504956480267E-4
8.64	-6	-1.89003304320178E-4
8.66	21	6.61511565120623E-4
8.68	25	7.87513768000742E-4
8.7	20	6.30011014400594E-4
8.72	29	9.13515970880861E-4
8.74	23	7.24512666560683E-4
8.76	5	1.57502753600148E-4
8.78	18	5.67009912960534E-4
8.8	21	6.61511565120623E-4
8.82	6	1.89003304320178E-4
8.84	5	1.57502753600148E-4
8.86	17	5.35509362240505E-4
8.88	-11	-3.46506057920326E-4
8.9	-5	-1.57502753600148E-4
8.92	-11	-3.46506057920326E-4
8.94	0	0
8.96	8	2.52004405760237E-4
8.98	21	6.61511565120623E-4
9	18	5.67009912960534E-4
9.02	8	2.52004405760237E-4
9.04	26	8.19014318720772E-4
9.06	19	5.98510463680564E-4
9.08	0	0
9.1	-10	-3.15005507200297E-4
9.12	-11	-3.46506057920326E-4
9.14	9	2.83504956480267E-4
9.16	14	4.41007710080415E-4
9.18	19	5.98510463680564E-4
9.2	13	4.09507159360386E-4
9.22	25	7.87513768000742E-4
9.24	24	7.56013217280712E-4
9.26	5	1.57502753600148E-4
9.28	-7	-2.20503855040208E-4
9.3	2	6.30011014400594E-5
9.32	-4	-1.26002202880119E-4
9.34	6	1.89003304320178E-4
9.36	9	2.83504956480267E-4
9.38	0	0
9.4	-3	-9.4501652160089E-5
9.42	-6	-1.89003304320178E-4
9.44	4	1.26002202880119E-4
9.46	9	2.83504956480267E-4
9.48	16	5.04008811520475E-4
9.5	10	3.15005507200297E-4
9.52	-6	-1.89003304320178E-4
9.54	7	2.20503855040208E-4
9.56	1	3.15005507200297E-5
9.58	4	1.26002202880119E-4
9.6	-3	-9.4501652160089E-5
9.62	-3	-9.4501652160089E-5
9.64	0	0
9.66	15	4.72508260800445E-4
9.68	15	4.72508260800445E-4
9.7	-3	-9.4501652160089E-5
9.72	-12	-3.78006608640356E-4
9.74	-14	-4.41007710080415E-4
9.76	1	3.15005507200297E-5
9.78	-1	-3.15005507200297E-5
9.8	9	2.83504956480267E-4
9.82	9	2.83504956480267E-4
9.84	3	9.4501652160089E-5
9.86	-3	-9.4501652160089E-5
9.88	-17	-5.35509362240505E-4
9.9	3	9.4501652160089E-5
9.92	18	5.67009912960534E-4
9.94	1	3.15005507200297E-5
9.96	2	6.30011014400594E-5
9.98	1	3.15005507200297E-5
10	2	6.30011014400594E-5
10.02	9	2.83504956480267E-4
10.04	5	1.57502753600148E-4
10.06	-1	-3.15005507200297E-5
10.08	3	9.4501652160089E-5
10.1	11	3.46506057920326E-4
10.12	-2	-6.30011014400594E-5
10.14	7	2.20503855040208E-4
10.16	28	8.82015420160831E-4
10.18	-1	-3.15005507200297E-5
10.2	-7	-2.20503855040208E-4
10.22	-2	-6.30011014400594E-5
10.24	0	0
10.26	-2	-6.30011014400594E-5
10.28	8	2.52004405760237E-4
10.3	7	2.20503855040208E-4
10.32	6	1.89003304320178E-4
10.34	7	2.20503855040208E-4
10.36	10	3.15005507200297E-4
10.38	5	1.57502753600148E-4
10.4	1	3.15005507200297E-5
10.42	8	2.52004405760237E-4
10.44	4	1.26002202880119E-4
10.46	3	9.4501652160089E-5
10.48	0	0
10.5	11	3.46506057920326E-4
10.52	11	3.46506057920326E-4
10.54	8	2.52004405760237E-4
10.56	1	3.15005507200297E-5
10.58	0	0
10.6	-6	-1.89003304320178E-4
10.62	9	2.83504956480267E-4
10.64	10	3.15005507200297E-4
10.66	7	2.20503855040208E-4
10.68	1	3.15005507200297E-5
10.7	-7	-2.20503855040208E-4
10.72	1	3.15005507200297E-5
10.74	7	2.20503855040208E-4
10.76	9	2.83504956480267E-4
10.78	9	2.83504956480267E-4
10.8	-3	-9.4501652160089E-5
10.82	-1	-3.15005507200297E-5
10.84	-4	-1.26002202880119E-4
10.86	12	3.78006608640356E-4
10.88	5	1.57502753600148E-4
10.9	-1	-3.15005507200297E-5
10.92	5	1.57502753600148E-4
10.94	6	1.89003304320178E-4
10.96	5	1.57502753600148E-4
10.98	-1	-3.15005507200297E-5
11	0	0
11.02	-2	-6.30011014400594E-5
11.04	2	6.30011014400594E-5
11.06	4	1.26002202880119E-4
11.08	12	3.78006608640356E-4
11.1	2	6.30011014400594E-5
11.12	4	1.26002202880119E-4
11.14	4	1.26002202880119E-4
11.16	10	3.15005507200297E-4
11.18	18	5.67009912960534E-4
11.2	12	3.78006608640356E-4
11.22	6	1.89003304320178E-4
11.24	-3	-9.4501652160089E-5
11.26	1	3.15005507200297E-5
11.28	9	2.83504956480267E-4
11.3	16	5.04008811520475E-4
11.32	5	1.57502753600148E-4
11.34	1	3.15005507200297E-5
11.36	-1	-3.15005507200297E-5
11.38	5	1.57502753600148E-4
11.4	2	6.30011014400594E-5
11.42	11	3.46506057920326E-4
