Time [µs]	H2 v1J7	H2 v1J7	
	100k shots	100k shots	
Laser Power [mJ]		power corrected	
6.68	31	0.00127063084170023
6.7	26	0.00106569038336149
6.72	9	3.68892825009745E-4
6.74	32	0.00131161893336798
6.76	38	0.00155754748337448
6.78	32	0.00131161893336798
6.8	26	0.00106569038336149
6.82	59	0.00241829740839722
6.84	79	0.00323805924175221
6.86	52	0.00213138076672297
6.88	48	0.00196742840005197
6.9	47	0.00192644030838422
6.92	58	0.00237730931672947
6.94	66	0.00270521405007146
6.96	53	0.00217236885839072
6.98	46	0.00188545221671647
7	55	0.00225434504172622
7.02	47	0.00192644030838422
7.04	53	0.00217236885839072
7.06	46	0.00188545221671647
7.08	42	0.00172149985004548
7.1	51	0.00209039267505522
7.12	54	0.00221335695005847
7.14	56	0.00229533313339397
7.16	62	0.00254126168340047
7.18	86	0.00352497588342645
7.2	85	0.0034839877917587
7.22	63	0.00258224977506821
7.24	76	0.00311509496674896
7.26	74	0.00303311878341346
7.28	66	0.00270521405007146
7.3	74	0.00303311878341346
7.32	71	0.00291015450841021
7.34	79	0.00323805924175221
7.36	64	0.00262323786673596
7.38	73	0.00299213069174571
7.4	88	0.00360695206676195
7.42	77	0.00315608305841671
7.44	57	0.00233632122506172
7.46	60	0.00245928550006497
7.48	71	0.00291015450841021
7.5	69	0.00282817832507471
7.52	105	0.00430374962511369
7.54	67	0.00274620214173921
7.56	73	0.00299213069174571
7.58	75	0.00307410687508121
7.6	73	0.00299213069174571
7.62	64	0.00262323786673596
7.64	76	0.00311509496674896
7.66	65	0.00266422595840371
7.68	50	0.00204940458338747
7.7	70	0.00286916641674246
7.72	48	0.00196742840005197
7.74	44	0.00180347603338098
7.76	57	0.00233632122506172
7.78	72	0.00295114260007796
7.8	65	0.00266422595840371
7.82	44	0.00180347603338098
7.84	63	0.00258224977506821
7.86	65	0.00266422595840371
7.88	36	0.00147557130003898
7.9	18	7.3778565001949E-4
7.92	23	9.42726108358237E-4
7.94	54	0.00221335695005847
7.96	64	0.00262323786673596
7.98	47	0.00192644030838422
8	57	0.00233632122506172
8.02	52	0.00213138076672297
8.04	41	0.00168051175837773
8.06	34	0.00139359511670348
8.08	26	0.00106569038336149
8.1	55	0.00225434504172622
8.12	46	0.00188545221671647
8.14	58	0.00237730931672947
8.16	74	0.00303311878341346
8.18	48	0.00196742840005197
8.2	67	0.00274620214173921
8.22	41	0.00168051175837773
8.24	53	0.00217236885839072
8.26	63	0.00258224977506821
8.28	47	0.00192644030838422
8.3	45	0.00184446412504872
8.32	30	0.00122964275003248
8.34	50	0.00204940458338747
8.36	53	0.00217236885839072
8.38	52	0.00213138076672297
8.4	56	0.00229533313339397
8.42	45	0.00184446412504872
8.44	58	0.00237730931672947
8.46	45	0.00184446412504872
8.48	35	0.00143458320837123
8.5	38	0.00155754748337448
8.52	36	0.00147557130003898
8.54	33	0.00135260702503573
8.56	35	0.00143458320837123
8.58	43	0.00176248794171323
8.6	23	9.42726108358237E-4
8.62	39	0.00159853557504223
8.64	56	0.00229533313339397
8.66	44	0.00180347603338098
8.68	20	8.19761833354989E-4
8.7	19	7.78773741687239E-4
8.72	31	0.00127063084170023
8.74	41	0.00168051175837773
8.76	17	6.9679755835174E-4
8.78	18	7.3778565001949E-4
8.8	25	0.00102470229169374
8.82	29	0.00118865465836473
8.84	28	0.00114766656669698
8.86	29	0.00118865465836473
8.88	48	0.00196742840005197
8.9	46	0.00188545221671647
8.92	30	0.00122964275003248
8.94	23	9.42726108358237E-4
8.96	13	5.32845191680743E-4
8.98	19	7.78773741687239E-4
9	18	7.3778565001949E-4
9.02	19	7.78773741687239E-4
9.04	20	8.19761833354989E-4
9.06	28	0.00114766656669698
9.08	29	0.00118865465836473
9.1	29	0.00118865465836473
9.12	25	0.00102470229169374
9.14	15	6.14821375016241E-4
9.16	22	9.01738016690488E-4
9.18	1	4.09880916677494E-5
9.2	-2	-8.19761833354989E-5
9.22	17	6.9679755835174E-4
9.24	23	9.42726108358237E-4
9.26	20	8.19761833354989E-4
9.28	24	9.83714200025987E-4
9.3	7	2.86916641674246E-4
9.32	14	5.73833283348492E-4
9.34	10	4.09880916677494E-4
9.36	7	2.86916641674246E-4
9.38	27	0.00110667847502923
9.4	8	3.27904733341996E-4
9.42	2	8.19761833354989E-5
9.44	8	3.27904733341996E-4
9.46	21	8.60749925022738E-4
9.48	29	0.00118865465836473
9.5	32	0.00131161893336798
9.52	20	8.19761833354989E-4
9.54	12	4.91857100012993E-4
9.56	9	3.68892825009745E-4
9.58	14	5.73833283348492E-4
9.6	23	9.42726108358237E-4
9.62	23	9.42726108358237E-4
9.64	29	0.00118865465836473
9.66	22	9.01738016690488E-4
9.68	12	4.91857100012993E-4
9.7	15	6.14821375016241E-4
9.72	20	8.19761833354989E-4
9.74	21	8.60749925022738E-4
9.76	15	6.14821375016241E-4
9.78	4	1.63952366670998E-4
9.8	19	7.78773741687239E-4
9.82	13	5.32845191680743E-4
9.84	1	4.09880916677494E-5
9.86	8	3.27904733341996E-4
9.88	8	3.27904733341996E-4
9.9	1	4.09880916677494E-5
9.92	11	4.50869008345244E-4
9.94	24	9.83714200025987E-4
9.96	11	4.50869008345244E-4
9.98	2	8.19761833354989E-5
10	-5	-2.04940458338747E-4
10.02	1	4.09880916677494E-5
10.04	14	5.73833283348492E-4
10.06	2	8.19761833354989E-5
10.08	8	3.27904733341996E-4
10.1	-1	-4.09880916677494E-5
10.12	3	1.22964275003248E-4
10.14	10	4.09880916677494E-4
10.16	5	2.04940458338747E-4
10.18	-6	-2.45928550006497E-4
10.2	6	2.45928550006497E-4
10.22	9	3.68892825009745E-4
10.24	5	2.04940458338747E-4
10.26	11	4.50869008345244E-4
10.28	9	3.68892825009745E-4
10.3	4	1.63952366670998E-4
10.32	14	5.73833283348492E-4
10.34	16	6.55809466683991E-4
10.36	13	5.32845191680743E-4
10.38	16	6.55809466683991E-4
10.4	13	5.32845191680743E-4
10.42	3	1.22964275003248E-4
10.44	5	2.04940458338747E-4
10.46	18	7.3778565001949E-4
10.48	3	1.22964275003248E-4
10.5	3	1.22964275003248E-4
10.52	-3	-1.22964275003248E-4
10.54	-8	-3.27904733341996E-4
10.56	8	3.27904733341996E-4
10.58	10	4.09880916677494E-4
10.6	15	6.14821375016241E-4
10.62	10	4.09880916677494E-4
10.64	-7	-2.86916641674246E-4
10.66	7	2.86916641674246E-4
10.68	5	2.04940458338747E-4
10.7	-2	-8.19761833354989E-5
10.72	5	2.04940458338747E-4
10.74	13	5.32845191680743E-4
10.76	13	5.32845191680743E-4
10.78	5	2.04940458338747E-4
10.8	6	2.45928550006497E-4
10.82	5	2.04940458338747E-4
10.84	11	4.50869008345244E-4
10.86	11	4.50869008345244E-4
10.88	14	5.73833283348492E-4
10.9	23	9.42726108358237E-4
10.92	18	7.3778565001949E-4
10.94	7	2.86916641674246E-4
10.96	5	2.04940458338747E-4
10.98	10	4.09880916677494E-4
11	2	8.19761833354989E-5
11.02	6	2.45928550006497E-4
11.04	13	5.32845191680743E-4
11.06	7	2.86916641674246E-4
11.08	11	4.50869008345244E-4
11.1	14	5.73833283348492E-4
11.12	16	6.55809466683991E-4
11.14	-1	-4.09880916677494E-5
11.16	3	1.22964275003248E-4
11.18	9	3.68892825009745E-4
11.2	3	1.22964275003248E-4
11.22	1	4.09880916677494E-5
11.24	3	1.22964275003248E-4
11.26	2	8.19761833354989E-5
11.28	4	1.63952366670998E-4
11.3	4	1.63952366670998E-4
11.32	0	0
11.34	6	2.45928550006497E-4
11.36	6	2.45928550006497E-4
11.38	-2	-8.19761833354989E-5
11.4	2	8.19761833354989E-5
11.42	6	2.45928550006497E-4
11.44	0	0
11.46	-9	-3.68892825009745E-4
11.48	-4	-1.63952366670998E-4
11.5	-4	-1.63952366670998E-4
11.52	-1	-4.09880916677494E-5
11.54	-13	-5.32845191680743E-4
11.56	-4	-1.63952366670998E-4
11.58	7	2.86916641674246E-4
11.6	4	1.63952366670998E-4
11.62	-1	-4.09880916677494E-5
11.64	1	4.09880916677494E-5
11.66	-1	-4.09880916677494E-5
11.68	-4	-1.63952366670998E-4
11.7	-3	-1.22964275003248E-4
11.72	-7	-2.86916641674246E-4
11.74	-6	-2.45928550006497E-4
11.76	-1	-4.09880916677494E-5
11.78	0	0
11.8	7	2.86916641674246E-4
11.82	9	3.68892825009745E-4
11.84	4	1.63952366670998E-4
11.86	3	1.22964275003248E-4
11.88	4	1.63952366670998E-4
11.9	4	1.63952366670998E-4
11.92	4	1.63952366670998E-4
11.94	5	2.04940458338747E-4
11.96	5	2.04940458338747E-4
11.98	17	6.9679755835174E-4
12	11	4.50869008345244E-4
12.02	-1	-4.09880916677494E-5
12.04	1	4.09880916677494E-5
12.06	2	8.19761833354989E-5
12.08	6	2.45928550006497E-4
12.1	3	1.22964275003248E-4
12.12	3	1.22964275003248E-4
12.14	-9	-3.68892825009745E-4
12.16	11	4.50869008345244E-4
12.18	7	2.86916641674246E-4
12.2	7	2.86916641674246E-4
12.22	5	2.04940458338747E-4
12.24	8	3.27904733341996E-4
12.26	9	3.68892825009745E-4
12.28	12	4.91857100012993E-4
12.3	5	2.04940458338747E-4
12.32	3	1.22964275003248E-4
12.34	-4	-1.63952366670998E-4
12.36	0	0
12.38	4	1.63952366670998E-4
12.4	11	4.50869008345244E-4
12.42	8	3.27904733341996E-4
12.44	2	8.19761833354989E-5
12.46	7	2.86916641674246E-4
12.48	6	2.45928550006497E-4
12.5	5	2.04940458338747E-4
12.52	3	1.22964275003248E-4
12.54	-5	-2.04940458338747E-4
12.56	-5	-2.04940458338747E-4
12.58	-7	-2.86916641674246E-4
12.6	-3	-1.22964275003248E-4
12.62	-5	-2.04940458338747E-4
12.64	2	8.19761833354989E-5
12.66	7	2.86916641674246E-4
12.68	9	3.68892825009745E-4
12.7	4	1.63952366670998E-4
12.72	0	0
12.74	-3	-1.22964275003248E-4
12.76	-4	-1.63952366670998E-4
12.78	-5	-2.04940458338747E-4
12.8	3	1.22964275003248E-4
12.82	8	3.27904733341996E-4
12.84	6	2.45928550006497E-4
12.86	4	1.63952366670998E-4
12.88	1	4.09880916677494E-5
12.9	0	0
12.92	3	1.22964275003248E-4
12.94	9	3.68892825009745E-4
12.96	3	1.22964275003248E-4
12.98	5	2.04940458338747E-4
13	2	8.19761833354989E-5
13.02	0	0
13.04	2	8.19761833354989E-5
13.06	5	2.04940458338747E-4
13.08	6	2.45928550006497E-4
13.1	2	8.19761833354989E-5
13.12	-1	-4.09880916677494E-5
13.14	0	0
13.16	-2	-8.19761833354989E-5
13.18	6	2.45928550006497E-4
13.2	7	2.86916641674246E-4
13.22	8	3.27904733341996E-4
13.24	7	2.86916641674246E-4
13.26	1	4.09880916677494E-5
13.28	-2	-8.19761833354989E-5
13.3	0	0
13.32	5	2.04940458338747E-4
13.34	3	1.22964275003248E-4
13.36	-1	-4.09880916677494E-5
13.38	1	4.09880916677494E-5
13.4	-12	-4.91857100012993E-4
13.42	-5	-2.04940458338747E-4
13.44	0	0
13.46	10	4.09880916677494E-4
13.48	6	2.45928550006497E-4
13.5	6	2.45928550006497E-4
13.52	-2	-8.19761833354989E-5
13.54	1	4.09880916677494E-5
13.56	4	1.63952366670998E-4
13.58	-4	-1.63952366670998E-4
13.6	-4	-1.63952366670998E-4
13.62	-4	-1.63952366670998E-4
13.64	-3	-1.22964275003248E-4
13.66	-2	-8.19761833354989E-5
13.68	-4	-1.63952366670998E-4
13.7	-1	-4.09880916677494E-5
13.72	2	8.19761833354989E-5
13.74	10	4.09880916677494E-4
13.76	4	1.63952366670998E-4
13.78	4	1.63952366670998E-4
13.8	5	2.04940458338747E-4
13.82	0	0
13.84	7	2.86916641674246E-4
13.86	-1	-4.09880916677494E-5
13.88	2	8.19761833354989E-5
13.9	2	8.19761833354989E-5
13.92	15	6.14821375016241E-4
13.94	6	2.45928550006497E-4
13.96	5	2.04940458338747E-4
13.98	-2	-8.19761833354989E-5
14	-3	-1.22964275003248E-4
14.02	-4	-1.63952366670998E-4
14.04	2	8.19761833354989E-5
14.06	-6	-2.45928550006497E-4
14.08	5	2.04940458338747E-4
14.1	2	8.19761833354989E-5
14.12	-3	-1.22964275003248E-4
14.14	-4	-1.63952366670998E-4
14.16	3	1.22964275003248E-4
14.18	-1	-4.09880916677494E-5
14.2	-1	-4.09880916677494E-5
14.22	0	0
14.24	2	8.19761833354989E-5
14.26	-4	-1.63952366670998E-4
14.28	1	4.09880916677494E-5
14.3	-3	-1.22964275003248E-4
14.32	-3	-1.22964275003248E-4
14.34	2	8.19761833354989E-5
14.36	-6	-2.45928550006497E-4
14.38	-3	-1.22964275003248E-4
14.4	0	0
14.42	-1	-4.09880916677494E-5
14.44	-2	-8.19761833354989E-5
14.46	-3	-1.22964275003248E-4
14.48	-8	-3.27904733341996E-4
14.5	-3	-1.22964275003248E-4
