Time [µs]	H2 v1J3	H2 v1J3
	50k shots	50k shots
Laser Power [mJ]		power corrected
6.34	55	0.00472275877126987
6.36	52	0.00446515374738242
6.38	51	0.0043792854060866
6.4	63	0.00540970550163639
6.42	73	0.00626838891459455
6.44	54	0.00463689042997405
6.46	56	0.00480862711256568
6.48	78	0.00669773062107363
6.5	68	0.00583904720811547
6.52	75	0.00644012559718618
6.54	73	0.00626838891459455
6.56	98	0.00841509744698994
6.58	109	0.00935964920124392
6.6	108	0.0092737808599481
6.62	111	0.00953138588383555
6.64	124	0.0106476743206811
6.66	115	0.00987485924901881
6.68	157	0.0134813295834431
6.7	132	0.0113346210510477
6.72	142	0.0121933044640058
6.74	127	0.0109052793445686
6.76	146	0.0125367778291891
6.78	177	0.0151986964093594
6.8	151	0.0129661195356682
6.82	160	0.0137389346073305
6.84	181	0.0155421697745426
6.86	179	0.015370433091951
6.88	195	0.0167443265526841
6.9	178	0.0152845647506552
6.92	165	0.0141682763138096
6.94	150	0.0128802511943724
6.96	158	0.0135671979247389
6.98	164	0.0140824079725138
7	171	0.0146834863615845
7.02	187	0.0160573798223175
7.04	204	0.0175171416243464
7.06	195	0.0167443265526841
7.08	202	0.0173454049417548
7.1	215	0.0184616933786004
7.12	228	0.019577981815446
7.14	210	0.0180323516721213
7.16	200	0.0171736682591631
7.18	178	0.0152845647506552
7.2	203	0.0174312732830506
7.22	172	0.0147693547028803
7.24	184	0.0157997747984301
7.26	191	0.0164008531875008
7.28	194	0.0166584582113883
7.3	177	0.0151986964093594
7.32	184	0.0157997747984301
7.34	205	0.0176030099656422
7.36	221	0.0189769034263753
7.38	171	0.0146834863615845
7.4	175	0.0150269597267678
7.42	203	0.0174312732830506
7.44	198	0.0170019315765715
7.46	165	0.0141682763138096
7.48	183	0.0157139064571343
7.5	172	0.0147693547028803
7.52	174	0.0149410913854719
7.54	165	0.0141682763138096
7.56	166	0.0142541446551054
7.58	183	0.0157139064571343
7.6	185	0.0158856431397259
7.62	168	0.014425881337697
7.64	178	0.0152845647506552
7.66	184	0.0157997747984301
7.68	210	0.0180323516721213
7.7	161	0.0138248029486263
7.72	141	0.01210743612271
7.74	147	0.0126226461704849
7.76	143	0.0122791728053017
7.78	112	0.00961725422513136
7.8	126	0.0108194110032728
7.82	142	0.0121933044640058
7.84	158	0.0135671979247389
7.86	142	0.0121933044640058
7.88	144	0.0123650411465975
7.9	144	0.0123650411465975
7.92	133	0.0114204893923435
7.94	135	0.0115922260749351
7.96	153	0.0131378562182598
7.98	108	0.0092737808599481
8	101	0.00867270247087739
8.02	123	0.0105618059793853
8.04	127	0.0109052793445686
8.06	119	0.0102183326142021
8.08	109	0.00935964920124392
8.1	95	0.00815749242310249
8.12	99	0.00850096578828576
8.14	88	0.00755641403403178
8.16	108	0.0092737808599481
8.18	122	0.0104759376380895
8.2	121	0.0103900692967937
8.22	103	0.00884443915346902
8.24	79	0.00678359896236944
8.26	64	0.00549557384293221
8.28	75	0.00644012559718618
8.3	78	0.00669773062107363
8.32	56	0.00480862711256568
8.34	62	0.00532383716034057
8.36	67	0.00575317886681965
8.38	74	0.00635425725589036
8.4	74	0.00635425725589036
8.42	79	0.00678359896236944
8.44	80	0.00686946730366526
8.46	74	0.00635425725589036
8.48	63	0.00540970550163639
8.5	50	0.00429341706479079
8.52	48	0.00412168038219916
8.54	67	0.00575317886681965
8.56	53	0.00455102208867823
8.58	55	0.00472275877126987
8.6	48	0.00412168038219916
8.62	44	0.00377820701701589
8.64	49	0.00420754872349497
8.66	49	0.00420754872349497
8.68	46	0.00394994369960752
8.7	45	0.00386407535831171
8.72	44	0.00377820701701589
8.74	56	0.00480862711256568
8.76	40	0.00343473365183263
8.78	40	0.00343473365183263
8.8	48	0.00412168038219916
8.82	45	0.00386407535831171
8.84	47	0.00403581204090334
8.86	44	0.00377820701701589
8.88	44	0.00377820701701589
8.9	40	0.00343473365183263
8.92	52	0.00446515374738242
8.94	31	0.00266191858017029
8.96	32	0.0027477869214661
8.98	26	0.00223257687369121
9	42	0.00360647033442426
9.02	40	0.00343473365183263
9.04	45	0.00386407535831171
9.06	34	0.00291952360405773
9.08	30	0.00257605023887447
9.1	36	0.00309126028664937
9.12	32	0.0027477869214661
9.14	40	0.00343473365183263
9.16	31	0.00266191858017029
9.18	26	0.00223257687369121
9.2	18	0.00154563014332468
9.22	37	0.00317712862794518
9.24	37	0.00317712862794518
9.26	26	0.00223257687369121
9.28	33	0.00283365526276192
9.3	27	0.00231844521498702
9.32	32	0.0027477869214661
9.34	15	0.00128802511943724
9.36	35	0.00300539194535355
9.38	27	0.00231844521498702
9.4	28	0.00240431355628284
9.42	17	0.00145976180202887
9.44	13	0.0011162884368456
