Time [µs]	D2, v0J5, 04.12.	D2, v0J5, 04.12.
	150k shots	counts per shot
Laser Power [mJ]		power corrected
7.42	-33	-3.22005669316909E-4
7.44	21	2.04912698656215E-4
7.46	20	1.95154951101157E-4
7.48	-16	-1.56123960880926E-4
7.5	47	4.58614135087719E-4
7.52	-16	-1.56123960880926E-4
7.54	24	2.34185941321389E-4
7.56	12	1.17092970660694E-4
7.58	24	2.34185941321389E-4
7.6	26	2.53701436431504E-4
7.62	-7	-6.8304232885405E-5
7.64	1	9.75774755505785E-6
7.66	18	1.75639455991041E-4
7.68	54	5.26918367973124E-4
7.7	33	3.22005669316909E-4
7.72	25	2.43943688876446E-4
7.74	41	4.00067649757372E-4
7.76	4	3.90309902202314E-5
7.78	41	4.00067649757372E-4
7.8	2	1.95154951101157E-5
7.82	21	2.04912698656215E-4
7.84	40	3.90309902202314E-4
7.86	27	2.63459183986562E-4
7.88	19	1.85397203546099E-4
7.9	8	7.80619804404628E-5
7.92	22	2.14670446211273E-4
7.94	66	6.44011338633818E-4
7.96	47	4.58614135087719E-4
7.98	31	3.02490174206794E-4
8	86	8.39166289734976E-4
8.02	95	9.26986017730496E-4
8.04	46	4.48856387532661E-4
8.06	-16	-1.56123960880926E-4
8.08	-15	-1.46366213325868E-4
8.1	35	3.41521164427025E-4
8.12	38	3.70794407092199E-4
8.14	37	3.61036659537141E-4
8.16	75	7.31831066629339E-4
8.18	58	5.65949358193356E-4
8.2	81	7.90377551959686E-4
8.22	43	4.19583144867488E-4
8.24	29	2.82974679096678E-4
8.26	41	4.00067649757372E-4
8.28	66	6.44011338633818E-4
8.3	42	4.0982539731243E-4
8.32	88	8.58681784845091E-4
8.34	82	8.00135299514744E-4
8.36	42	4.0982539731243E-4
8.38	8	7.80619804404628E-5
8.4	36	3.51278911982083E-4
8.42	82	8.00135299514744E-4
8.44	80	7.80619804404628E-4
8.46	55	5.36676115528182E-4
8.48	51	4.97645125307951E-4
8.5	78	7.61104309294513E-4
8.52	80	7.80619804404628E-4
8.54	106	0.00103432124083613
8.56	170	0.00165881708435984
8.58	133	0.00129778042482269
8.6	114	0.0011123832212766
8.62	70	6.8304232885405E-4
8.64	99	9.66017007950728E-4
8.66	105	0.00102456349328107
8.68	161	0.00157099735636431
8.7	76	7.41588814184397E-4
8.72	148	0.00144414663814856
8.74	168	0.00163930158924972
8.76	100	9.75774755505786E-4
8.78	85	8.29408542179918E-4
8.8	102	9.95290250615901E-4
8.82	106	0.00103432124083613
8.84	94	9.17228270175438E-4
8.86	54	5.26918367973124E-4
8.88	34	3.31763416871967E-4
8.9	72	7.02557823964166E-4
8.92	97	9.46501512840612E-4
8.94	108	0.00105383673594625
8.96	130	0.00126850718215752
8.98	158	0.00154172411369914
9	168	0.00163930158924972
9.02	141	0.00137584240526316
9.04	154	0.00150269312347891
9.06	133	0.00129778042482269
9.08	180	0.00175639455991041
9.1	141	0.00137584240526316
9.12	97	9.46501512840612E-4
9.14	68	6.63526833743934E-4
9.16	82	8.00135299514744E-4
9.18	109	0.00106359448350131
9.2	134	0.00130753817237775
9.22	136	0.00132705366748787
9.24	123	0.00120020294927212
9.26	119	0.00116117195905188
9.28	121	0.001180687454162
9.3	105	0.00102456349328107
9.32	99	9.66017007950728E-4
9.34	108	0.00105383673594625
9.36	131	0.00127826492971258
9.38	100	9.75774755505786E-4
9.4	88	8.58681784845091E-4
9.42	122	0.00119044520171706
9.44	91	8.87955027510265E-4
9.46	35	3.41521164427025E-4
9.48	62	6.04980348413587E-4
9.5	75	7.31831066629339E-4
9.52	66	6.44011338633818E-4
9.54	71	6.92800076409108E-4
9.56	80	7.80619804404628E-4
9.58	72	7.02557823964166E-4
9.6	36	3.51278911982083E-4
9.62	30	2.92732426651736E-4
9.64	30	2.92732426651736E-4
9.66	30	2.92732426651736E-4
9.68	31	3.02490174206794E-4
9.7	29	2.82974679096678E-4
9.72	57	5.56191610638298E-4
9.74	64	6.24495843523703E-4
9.76	87	8.48924037290033E-4
9.78	89	8.68439532400149E-4
9.8	35	3.41521164427025E-4
9.82	33	3.22005669316909E-4
9.84	37	3.61036659537141E-4
9.86	33	3.22005669316909E-4
9.88	-1	-9.75774755505785E-6
9.9	51	4.97645125307951E-4
9.92	33	3.22005669316909E-4
9.94	21	2.04912698656215E-4
9.96	35	3.41521164427025E-4
9.98	56	5.4643386308324E-4
10	40	3.90309902202314E-4
10.02	20	1.95154951101157E-4
10.04	22	2.14670446211273E-4
